trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,7,-45.0776147415984,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.49, 'e': 0.9025}",30,0,-52.99242772189506,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.48, 'e': 0.81}",25,0,-112.0016335330767,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.47, 'e': 0.7225}",35,14,-27.002070264637698,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.46, 'e': 0.64}",30,3,-116.76431812779609,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 2}",1
6,False,"{'a': 0.45, 'e': 0.5625}",25,4,-49.568734061272075,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.44, 'e': 0.49}",20,0,-54.94716403609656,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.43, 'e': 0.4225}",20,11,-21.333262646946626,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.42, 'e': 0.36}",20,12,-8.948286061201342,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.41000000000000003, 'e': 0.3025}",20,16,9.70048288030537,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.25}",25,14,-6.099945996531208,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.39, 'e': 0.2025}",25,12,11.191962056020806,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.38, 'e': 0.16}",20,9,9.786883997963711,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.37, 'e': 0.1225}",20,16,8.729513900971902,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.36, 'e': 0.09}",20,11,14.93759671027264,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.35, 'e': 0.0625}",25,20,8.761629566331976,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.33999999999999997, 'e': 0.04}",20,14,10.895466085987273,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.32999999999999996, 'e': 0.0225}",30,21,13.339862880589424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.32, 'e': 0.01}",20,0,27.290346254032013,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.31, 'e': 0.0025}",20,16,7.284491531758288,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,15,9.55378785100977,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,27,13.887570179179964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,22,10.723192105373144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,4,23.09623536037426,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,24.52335598672348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,21.024574093534298,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,23.579302267746108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,15,24.01639981468653,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,12,34.05578205403943,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,20.786338916712122,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,16,7.908810943668811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,16,9.837341246772564,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,17,12.505292479995848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,14,15.831253488267112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,10,18.896018836451127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,10,22.446870026325378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,8,19.12064479639631,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,12,25.018390364932937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,2,28.067299787676724,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,16,18.14247955120402,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,14,17.588120773291216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,6,24.499936646350765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
